,id,full_text,favorite_count,retweet_count,created_at
368,1296885831651786753,fiended,32,6,2020-08-21 19:04:11
369,1296885775678701575,fontheads,84,11,2020-08-21 19:03:58
370,1296863137942188032,hotboy,1062,195,2020-08-21 17:34:01
371,1296855598781403138,desplintering,15,3,2020-08-21 17:04:03
372,1296855590631813121,intellectacle,19,3,2020-08-21 17:04:01
373,1296749906577809408,fontsmith,55,3,2020-08-21 10:04:04
374,1296742471578398720,habah,6,5,2020-08-21 09:34:32
375,1296742361041719297,politifest,12,4,2020-08-21 09:34:05
376,1296636660042661888,schnoozeday,110,27,2020-08-21 02:34:04
377,1296523408159789057,docufictions,28,6,2020-08-20 19:04:03
378,1296440431597756416,ragetweeting,1170,254,2020-08-20 13:34:20
379,1296440409208565760,fussbett,17,2,2020-08-20 13:34:14
380,1296440387624738816,macuilí,7,1,2020-08-20 13:34:09
381,1296380409656348673,looksmaxxing,192,40,2020-08-20 09:35:49
382,1296380152100933633,orthotropics,7,1,2020-08-20 09:34:48
383,1296380017111433217,googoonyella,13,4,2020-08-20 09:34:16
384,1296380003765161984,jeerung,2,0,2020-08-20 09:34:13
385,1296349798401019905,orbivore,82,19,2020-08-20 07:34:11
386,1296349790066937856,orbivores,26,5,2020-08-20 07:34:09
387,1296304545417637888,footshakes,42,4,2020-08-20 04:34:22
388,1296296945020002304,chithis,829,140,2020-08-20 04:04:10
389,1296153479682101249,watchdogn,69,9,2020-08-19 18:34:05
390,1296115705096609796,memeably,279,41,2020-08-19 16:03:59
391,1296032712663470080,nativars,7,1,2020-08-19 10:34:12
392,1296032650524872704,oblongifolium,28,5,2020-08-19 10:33:57
393,1296032642744426496,lateriflorum,7,1,2020-08-19 10:33:55
394,1295896770736685056,foldering,33,4,2020-08-19 01:34:01
395,1295798693036199936,douchi,34,6,2020-08-18 19:04:17
396,1295798685071282176,dawadawa,14,2,2020-08-18 19:04:15
397,1295798669581705220,paoluda,8,2,2020-08-18 19:04:12
398,1295798655719440384,bangamary,11,3,2020-08-18 19:04:08
399,1295700457751547904,teleconvention,86,26,2020-08-18 12:33:56
400,1295662861428105216,gelefen,7,1,2020-08-18 10:04:33
401,1295662835943518208,profoundlyunhealthy,135,35,2020-08-18 10:04:26
402,1295662772584407040,nanomole,18,5,2020-08-18 10:04:11
403,1295617413183156225,quentchen,31,6,2020-08-18 07:03:57
404,1295496582373179392,isn’ts,281,60,2020-08-17 23:03:49
405,1295443734902059014,powerbombs,60,23,2020-08-17 19:33:49
406,1295421140438056969,churumuri,25,3,2020-08-17 18:04:02
407,1295421119395176448,chaatna,7,3,2020-08-17 18:03:57
408,1295330549259743232,oleandrin,16,4,2020-08-17 12:04:03
409,1295300418357133313,extubations,24,2,2020-08-17 10:04:19
410,1295058837012123656,twindemic,144,16,2020-08-16 18:04:22
411,1294930480228425728,handmadeness,50,9,2020-08-16 09:34:19
412,1294658646547337216,overhug,227,37,2020-08-15 15:34:09
413,1294417045203845121,quaranteammate,590,94,2020-08-14 23:34:07
414,1294379367091654657,amarogentin,5,0,2020-08-14 21:04:24
415,1294379359281782784,gentiopicroside,22,2,2020-08-14 21:04:22
416,1294311400609927168,gristlier,11,3,2020-08-14 16:34:19
417,1294311375091707906,drinkmaking,17,1,2020-08-14 16:34:13
418,1294303866230628353,tootiness,126,18,2020-08-14 16:04:23
419,1294281174567849986,ecoclimate,22,6,2020-08-14 14:34:13
420,1294220740972154888,narodets,10,7,2020-08-14 10:34:04
421,1294205761304825857,equiphile,17,2,2020-08-14 09:34:33
422,1294205679218176007,submesoscales,1,1,2020-08-14 09:34:13
423,1294205671064383488,submesoscale,5,2,2020-08-14 09:34:11
424,1294137724736139265,janbe,10,0,2020-08-14 05:04:12
